14:23:57 , 77
14:24:00 , 48
14:24:00 , 46
14:24:00 , 49
14:24:00 , 55
14:24:00 , 111
14:24:00 , 89
14:24:00 , 88
14:24:00 , 87
14:24:01 , 83
14:24:02 , 83
14:24:03 , 82
14:24:04 , 83
14:24:05 , 83
14:24:06 , 84
14:24:07 , 84
14:24:08 , 83
14:24:09 , 82
14:24:10 , 81
14:24:11 , 80
14:24:12 , 79
14:24:13 , 79
14:24:14 , 79
14:24:15 , 79
14:24:16 , 79
14:24:17 , 78
14:24:18 , 78
14:24:19 , 78
14:24:20 , 77
14:24:21 , 77
14:24:22 , 77
14:24:23 , 77
14:24:24 , 78
14:24:25 , 79
14:24:26 , 81
14:24:27 , 82
14:24:28 , 85
14:24:29 , 86
14:24:30 , 86
14:24:31 , 86
14:24:32 , 85
14:24:33 , 84
14:24:34 , 83
14:24:35 , 83
14:24:36 , 83
14:24:37 , 83
